WordId,TestId,PartOfSpeech,Description,Example,Source
495,0,adjective,stubbornly persistent in changing an opinion or action.,No number of pleas and bribes would get him to change his obdurate attitude.,Magoosh
496,0,adjective,showing a cheerful willingness to do favors for others.,"Even after all his success, I found him to be accommodating and obliging, sharing with me his ""secret tips"" on how to gain wealth and make friends.",Magoosh
497,0,adjective,resistant to guidance or discipline; stubbornly persistent.,"The coach suggested improvements Sarah might make on the balance beam, but she remained obstinate, unwilling to modify any of the habits that made her successful in the past.",Magoosh
498,0,adjective,marked by elaborate rhetoric and elaborated with decorative details.,The ornate Victorian and Edwardian homes spread throughout San Francisco are my favorite part of the city.,Magoosh
499,0,adjective,seemingly contradictory but nonetheless possibly true.,"That light could be both a particle and a wave seems paradoxical, but nonetheless, it is true.",Magoosh
500,0,adjective,relating to the countryside in a pleasant sense.,Those who imagine America's countryside as a pastoral region are often disappointed to learn that much of rural U.S. is filled with cornfields extending as far as the eye can see.,Magoosh
501,0,verb,treat condescendingly.,"She says she genuinely wanted to help me, but instead she patronized me, constantly pointing out how I was inferior to her. This word has other definitions but this is the most important one for the GRE.",Magoosh
502,0,noun,a lack of something.,"There is a paucity of jobs hiring today that require menial skills, since most jobs have either been automated or outsourced.",Magoosh
503,0,adjective,easily irritated or annoyed.,"Our office manager is peevish, so the rest of us tip-toe around him, hoping not to set off another one of his fits.",Magoosh
504,0,adjective,lasting an indefinitely long time; eternal; everlasting.,"Even at the old-timers games, Stan Musial would get the loudest cheer: he was a perennial favorite of the fans there. This word has other definitions but this is the most important one for the GRE.",Magoosh
505,0,verb,cause to continue.,"If you do not let him do things for himself, you are merely perpetuating bad habits that will be even harder to break in the future.",Magoosh
506,0,noun,a right reserved exclusively by a particular person or group (especially a hereditary or official right).,"Even as the dishwasher at the French restaurant, Josh quickly learned that he had the perquisite of being able to eat terrific food for half the price diners would pay.",Magoosh
507,0,adjective,having precise or logical relevance to the matter at hand.,"While the salaries of the players might draw attention in the media, such monetary figures are not pertinent to the question of who plays the best on the field.",Magoosh
508,0,verb,disturb in mind or cause to be worried or alarmed.,"Now that Henry is recovering from a major illnesses, he no longer lets the little trivialities, such as late mail, perturb him.",Magoosh
509,0,verb,to read very carefully.,"Instead of perusing important documents, people all too often rush to the bottom of the page and plaster their signatures at the bottom.",Magoosh
510,0,verb,to yearn for.,"Standing forlornly by the window, she pined for her lost love. This word has other definitions but this is the most important one for the GRE.",Magoosh
511,0,noun,the highest point.,"At its pinnacle, the Roman Empire extended across most of the landmass of Eurasia, a feat not paralleled to the rise of the British Empire in the 18th and 19th century.",Magoosh
512,0,adjective,having an agreeably pungent taste.,"The chef, with a mere flick of the salt shaker, turned the bland tomato soup into a piquant meal.",Magoosh
513,0,adjective,concise and full of meaning.,I enjoy reading the Daodejing for its pithy and insightful prose; it always gives me something to think about.,Magoosh
514,0,noun,a small amount (of money).,Vinny's uncle beamed smugly about how he'd offered his nephew fifty dollars for his Harvard tuition; even twice the amount would have been a mere pittance.,Magoosh
515,0,adjective,not easily irritated.,"Doug is normally placid, so we were all shocked to see him yelling at the television when the Mets lost the game.",Magoosh
516,0,adjective,(of movement) slow and laborious.,"Charlie may seem to run at a plodding pace, but he is an ultramarathoner, meaning he runs distances of up to 100 miles, and can run for ten hours at a stretch.",Magoosh
517,0,noun,a clever plan to turn a situation to one's advantage.,"Dennis arranged an elaborate ploy, involving 14 different people lying for him in different situations, so that it could appear that he was meeting Mary completely by chance at the wedding reception.",Magoosh
518,0,noun,an informal meeting or discussion.,"Before the team takes the field, the coach always calls for a powwow so that he can make sure all the players are mentally in the right place.",Magoosh
519,0,adjective,fraught with danger.,"People smoke to relax and forget their cares, but ironically, in terms of health risks, smoking is far more precarious than either mountain-climbing or skydiving.",Magoosh
520,0,noun,an example that is used to justify similar occurrences at a later time.,"The principal explained that even though one student had done modelling work outside of school, the outfits that student wore in those photographs in no way established a precedent for what could be worn at school dances.",Magoosh
521,0,verb,take the place of or have precedence over.,A governmental warning about an imminent terrorist attack would preempt ordinary network programming on television.,Magoosh
522,0,adjective,done before someone else can do it.,"Just as Martha was about to take the only cookie left on the table, Noah preemptively swiped it.",Magoosh
523,0,noun,an assumption that is taken for granted.,"When Mr. Baker found out the family car was gone, he acted under the presumption that his rebellious son had taken the car, calling his son's phone and yelling at him; only later did Mr. Baker realize that Mrs. Baker had simply gone out to get her nails d.",Magoosh
523,0,noun,audacious (even arrogant) behavior that you have no right to.,"The new neighbor quickly gained a reptuation for her presumption; she had invited herself to several of the neighbors homes, often stopping over at inopportune times and asking for a drink.",Magoosh
524,0,adjective,excessively forward.,Many felt that Barney was presumptuous in moving into the large office before the management even made any official announcement of his promotion.,Magoosh
525,0,verb,prove superior.,"Before the cricket match, Australia was heavily favored, but India prevailed.",Magoosh
526,0,adjective,"Unspoiled, untouched (usu.",of nature). The glacial lake was pristine and we filled our canteens to drink deeply.,Magoosh
526,0,adjective,Immaculately clean and unused.,"Drill sergeants are known for demanding pristine cabinets, uniforms, and beds, and often make new recruits clean and clean and clean until they meet the expected high standards.",Magoosh
527,0,adjective,plentiful; pouring out in abundance.,"During mile 20 of the Hawaii Marathon, Dwayne was sweating so profusely that he stopped to take off his shirt, and ran the remaining six miles wearing nothing more than skimpy shorts. Note:.",Magoosh
528,0,noun,the property of being extremely abundant.,"When Maria reported that she had been visited by Jesus Christ and had proof, a profusion of reporters. and journalists descended on the town.",Magoosh
529,0,noun,a person who pleads for a cause or propounds an idea.,"Ironically, the leading proponent of Flat-Earth Theory flies all over the world in an effort to win more adherents.",Magoosh
530,0,adjective,under terms not final or fully worked out or agreed upon.,"Until the corporate office hands down a definitive decision on use of the extra offices, we will share their use in a provisional arrangement.",Magoosh
531,0,adjective,eager to fight or argue; verbally combative.,"The comedian told one flat joke after another, and when the audience started booing, he pugnaciously back at them, ""Hey, you think this is easy -- why don""t you buffoons give it a shot?"".",Magoosh
532,0,noun,uneasiness about the fitness of an action.,"While he could articulate no clear reason why Harkner's plan would fail, he neverless felt qualms about committing any resources to it.",Magoosh
533,0,noun,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options.,"Steve certainly is in a quandary: if he doesn't call Elaine, she will blame him for everything, but if he does call her, the evidence of where he currently is could cost him his job.",Magoosh
534,0,noun,a witty saying or remark.,"In one of the most famous quips about classical music, Mark Twain said: ""Wagner's music is better than it sounds."".",Magoosh
535,0,adjective,marked by a carefree unconventionality or disreputableness.,"The men found him raffish, but the women adored his smart clothes and casual attitude.",Magoosh
536,0,noun,a large number of something.,"Despite a raft of city ordinances passed by an overzealous council, noise pollution continued unabated in the megalopolis. This word has other definitions but this is the most important one for the GRE.",Magoosh
537,0,adjective,marked by a carefree unconventionality or disreputableness.,"As soon as he arrived in the city, the rakish young man bought some drugs and headed straight for the seedy parts of town.",Magoosh
538,0,verb,gnaw into; make resentful or angry.,"His constant whistling would rankle her, sometimes causing her to leave in a huff.",Magoosh
539,0,adjective,"marked by defiant disregard for danger or consequences; imprudently incurring risk Although Bruce was able to make the delivery in time with a nightime motorcycle ride in the rain, Susan.",criticized his actions as rash. This word has other definitions but this is the most important one for the GRE.,Magoosh
540,0,noun,an act of making something right.,"Barry forgot his wife's birthday two years in a row, and was only able to redress his oversight by surprising his wife with a trip to Tahiti. This word has other definitions but this is the most important one for the GRE.",Magoosh
541,0,verb,assign to a lower position.,"When Dexter was unable to fulfill his basic duties, instead of firing him, the boss relegated him to kitchen cleanup.",Magoosh
542,0,adjective,"to be negligent in one""s duty.","Remiss in his duty to keep the school functioning efficiently, the principle was relieved of his position after only three months.",Magoosh
543,0,verb,fail to fulfill a promise or obligation.,We will no longer work with that vendor since it has reneged on nearly every agreement.,Magoosh
544,0,adjective,completely stocked or furnished with something.,"Only weeks after the hurricane made landfall, the local supermarket shelves were replete with goods, so quick was the disaster relief response.",Magoosh
545,0,noun,a person who is disapproved of.,Those old reprobates drinking all day down by the river--they are not going to amount to much.,Magoosh
546,0,noun,an unstated doubt that prevents you from accepting something wholeheartedly.,"I was initially excited by the idea of a trip to Washington, D.C. but now that I have read about the high crime statistics there, I have some reservations. This word has other definitions but this is the most important one for the GRE.",Magoosh
547,0,noun,the acceptance of something unpleasant that can't be avoided.,"Since Jack could not think of a convincing reason why he had to miss the seminar, he attended it with a sense of resignation. This word has other definitions but this is the most important one for the GRE.",Magoosh
548,0,verb,reach a conclusion after a discussion or deliberation.,"After much thought, Ted resolved not to travel abroad this summer because he didn't have much money in his bank account. This word has other definitions but this is the most important one for the GRE.",Magoosh
549,0,noun,a pause from doing something (as work).,"Every afternoon, the small company has a respite in which workers play foosball or board games.",Magoosh
550,0,adjective,"to be shy, and to be inclined to retract from company.","Nelson was always the first to leave soirees--rather than mill about with ""fashionable"" folk, he was retiring, and preferred the solitude of his garret.",Magoosh
551,0,verb,"pull inward or towards a center; formally reject or disavow a formerly held belief, usually under pressure.","Email is wonderfully efficient, but once something awkward or damaging has been sent, there is no way to retract it.",Magoosh
552,0,verb,"cause annoyance in; disturb, especially by minor irritations.","Dan is usually calm and balanced, but it takes only one intense glare from Sabrina to rile him.",Magoosh
553,0,adjective,"sturdy and strong in form, constitution, or construction.","Chris preferred bland and mild beers, but Bhavin preferred a beer with more robust flavor.",Magoosh
554,0,adjective,making a show of being pious; holier-than-thou.,"Even during the quiet sanctity of evening prayer, she held her chin high, a sanctimonious sneer forming on her face as she eyed those who were attending church for the first time.",Magoosh
555,0,adjective,cheerful; optimistic.,"With the prospect of having to learn 3,000 words during the course of the summer, Paul was anything but sanguine.",Magoosh
556,0,noun,a perceptive understanding.,"Although a great CEO, he did not have the political savvy to win the election.",Magoosh
556,0,verb,get the meaning of something.,The student savvies the meaning of astrophysics with little effort.,Magoosh
556,0,adjective,well-informed or perceptive.,"With his savvy business partner, the company was able to turn a profit within a year.",Magoosh
557,0,adjective,describes someone who is brilliant and lively.,Richard Feynman was renowned for his scintillating lectures--the arcana of quantum physics was made lucid as he wrote animatedly on the chalkboard.,Magoosh
558,0,noun,an abusive rant (often tedious).,"Joey had difficulty hanging out with his former best friend Perry, who, during his entire cup of coffee, enumerated all of the government's deficiencies--only to break ranks and launch into some screed against big business.",Magoosh
559,0,adjective,"effusively or insincerely emotional, especially in art, music, and literature.",I don't like romanticism for the same reason I don't like melodramatic acting and soap operas--overly sentimental.,Magoosh
560,0,noun,"the instance in which an accidental, fortunate discovery is made.","The invention of the 3M Post It Note was serendipitous, because the scientist who had come up with the. idea was looking for a strong adhesive; the weak adhesive he came up with was perfect for holding a piece of paper in place but made it very easy for so.",Magoosh
561,0,adjective,calm and peaceful.,"I'd never seen him so serene; usually, he was a knot of stress and anxiety from hours of trading on the stock exchange.",Magoosh
562,0,adjective,carelessly and hastily put together.,"The office building had been constructed in a slapdash manner, so it did not surprise officials when, during a small earthquake, a large crack emerged on the fa̤ade of the building.",Magoosh
563,0,noun,a slight or superficial understanding of a subject; a small amount of something.,"I know only a smattering of German, but Helen is able to read German newspapers and converse with natives.",Magoosh
564,0,adjective,marked by excessive complacency or self-satisfaction.,"When Phil was dating the model, he had a smug attitude that annoyed his buddies.",Magoosh
565,0,adjective,expressive of contempt; derogatory or mocking in an indirect way.,"The chairman interpreted Taylor's question about promotions as a snide remark, but in all innocence Taylor was trying to figure out the company's process.",Magoosh
566,0,verb,refuse to acknowledge; reject outright and bluntly.,"Wheeler was completely qualified for the committee, but the board snubbed him, choosing an obviously lesser qualified candidate instead.",Magoosh
567,0,adjective,involving ignoble actions and motives; arousing moral distaste and contempt; foul and run-down and repulsive.,"The nightly news simply announced that the senator had had an affair, but the tabloid published all the sordid details of the interaction. This word has other definitions but this is the most important one for the GRE.",Magoosh
568,0,noun,one who spends money extravagantly.,"Taking weekly trips to Vegas, Megan was a spendthrift whose excesses eventually caught up to her.",Magoosh
569,0,verb,reject with contempt.,"She spurned all his flattery and proposals, and so he walked off embarrassed and sad.",Magoosh
570,0,verb,"spend thoughtlessly; waste time, money, or an opportunity.","Fearing his money would be squandered by his family, he gave all of it to charity when he died.",Magoosh
571,0,adjective,characterized by dignity and propriety.,"Frank came from a staid enviroment, so he was shocked that his college rooommate sold narcotics.",Magoosh
572,0,verb,to suddenly move in a particular direction.,"All alone in the mansion, Henrietta started when she heard a sound. This word has other definitions but this is the most important one for the GRE.",Magoosh
573,0,adjective,marked by firm determination or resolution; not shakable.,"A good captain needs to be steadfast, continuing to hold the wheel and stay the course even during the most violent storm.",Magoosh
574,0,verb,to hold back or limit the flow or growth of something.,"To stem the tide of applications, the prestigious Ivy requires that each applicant score at least 330 on the Revised GRE. This word has other definitions but this is the most important one for the GRE.",Magoosh
575,0,noun,a regular allowance (of money).,"He was hoping for a monthly allowance loan from the government, but after no such stipend was forthcoming he realized he would have to seek other means of paying for his college tuition.",Magoosh
576,0,verb,hinder or prevent the progress or accomplishment of.,The engineers found their plans stymied at every turn and were ultimately able to make amlost no progress on the project.,Magoosh
577,0,noun,the peak or highest point.,"After hiking for two days, the climbers finally reached the summit of Mount Kilimanjaro.",Magoosh
577,0,noun,a meeting of high-level leaders.,"Since climate change policy has been mired in congressional fighting, this summit should help set the goals for president's next term.",Magoosh
578,0,adjective,inclined to anger or bad feelings with overtones of menace.,"Every morning, Bhavin was a surly unhappy person, but once he ate breakfast, he became loving, laughing, and a joy to be around.",Magoosh
579,0,noun,consideration in dealing with others and avoiding giving offense.,"In a tremendous display of tact, Shelly was able to maintain a strong friendship with Marcia, even though Marcia's husband, Frank, confessed to finding Shelley more attractive than Marcia.",Magoosh
580,0,verb,"make dirty or spotty, as by exposure to air; also used metaphorically.","Pete Rose was one of the best baseball players of his generation, but his involvement with gambling on baseball games has tarnished his image in the eyes of many.",Magoosh
581,0,adjective,tastelessly showy; cheap and shoddy.,"Carol expected to find New York City magical, the way so many movies had portrayed it, but she was. surprised how often tawdry displays took the place of genuine elegance.",Magoosh
582,0,adjective,use to the limit; exhaust.,The hike to the summit of Mt. Whitney was so taxing that I could barely speak or stand up. This word has other definitions but this is the most important one for the GRE.,Magoosh
583,0,adjective,significant and revealing of another factor.,Her unbecoming dress was very telling when it came to her sense of fashion.,Magoosh
584,0,adjective,revealing.,"The many telltale signs of chronic smoking include yellow teeth, and a persistent, hacking cough.",Magoosh
585,0,verb,offer up something formally.,The government was loath to tender more money in the fear that it might set off inflation. This word has other definitions but this is the most important one for the GRE.,Magoosh
586,0,adjective,very thorough; complete.,"As a thoroughgoing bibliophile, one who had turned his house into a veritable library, he shocked his friends when he bought a Kindle.",Magoosh
587,0,adjective,spending money wisely.,"He was economical, spending his money thriftily and on items considered essential.",Magoosh
588,0,verb,"hinder or prevent (the efforts, plans, or desires) of.","I wanted to spend a week in New York this autumn, but the high costs of travel and lodging thwarted my plans.",Magoosh
589,0,noun,an angry speech.,"In terms of political change, a tirade oftentimes does little more than make the person speaking red in the face.",Magoosh
590,0,verb,advertize in strongly positive terms; show off.,"At the conference, the CEO touted the extraordinary success of his company's Research & Development division.",Magoosh
591,0,adjective,lasting a very short time.,"If we lived forever and life was not transitory, do you think we would appreciate life less or more?.",Magoosh
592,0,noun,use of physical or mental energy; hard work; agony or anguish.,"While they experienced nothing but travails in refinishing the kitchen, they completed the master bedroom in less than a weekend.",Magoosh
593,0,noun,"something, especially an event, that causes difficulty and suffering.","As of 2013, nearly 1.5 million Syrians have fled their country hoping to escape the tribulations of a civil war tearing their country to pieces.",Magoosh
594,0,noun,"a state of chaos, noise and confusion.","Riots broke out just in front of our apartment building, and the tumult continued late into the night.",Magoosh
595,0,adjective,suggesting the operation of supernatural influences; surpassing the ordinary or normal.,"Reggie has an uncanny ability to connect with animals: feral cats will readily approach him, and sometimes even wild birds will land on his finger.",Magoosh
596,0,adjective,not making concessions.,"The relationship between Bart and Hilda ultimately failed because they were both so uncompromising, never wanting to change their opinions.",Magoosh
597,0,adjective,unreasonable; unscrupulous; excessive.,"The lawyer's demands were so unconscionable that rather than pay an exorbitant sum or submit himself to any other inconveniences, the defendant decided to find a new lawyer.",Magoosh
598,0,verb,to support financially.,The latest symphony broadcast was made possible with underwriting from the Carnegie Endowment.,Magoosh
599,0,verb,to make nervous or upset.,"At one time unnerved by math problems, she began avidly ""Magoosh-ing"", and soon became adept at even combinations and permutations questions.",Magoosh
600,0,adjective,having never been done or known before; novel.,"When America first created its national parks, the idea of setting aside the most beautiful land in a country was unprecedented in the history of mankind.",Magoosh
601,0,adjective,(of persons) noisy and lacking in restraint or discipline; unwilling to submit to authority.,Walk in to any preschool and I am sure that you will find an unruly and chaotic scene--unless it's nap time.,Magoosh
602,0,adjective,showing a high degree of refinement and the assurance that comes from wide social experience.,"Because of his service as an intelligence officer and his refined tastes, W. Somerset Maugham became the inspiration for the urbane and sophistcate spy James Bond.",Magoosh
603,0,adjective,"devoid of intelligence, matter, or significance.","To the journalist's pointed question, the senator gave a vacuous response, mixing a few of his overall. campaign slogans with platitudes and completely avoiding the controversial subject of the question.",Magoosh
604,0,verb,"come out better in a competition, race, or conflict.","For years, Argentina would dominate in World Cup qualifying matches, only to be vanquished by one of the European countries during the late stages of the tournament.",Magoosh
605,0,noun,the quality of varying.,"The cynic quipped, ""There is not much variance in politicians; they all seem to prevaricate"".",Magoosh
606,0,adjective,felt or undergone as if one were taking part in the experience or feelings of another.,"The advent of twitter is a celebrity stalker's dream, as he or she can--through hundreds of intimate ""tweets""--vicariously live the life of a famous person.",Magoosh
607,0,verb,compete for something.,"While the other teams in the division actively vie for the championship, this team seems content simply to go through the motions of playing.",Magoosh
608,0,adjective,to have a very strong desire for revenge.,"Though the other girl had only lightly poked fun of Vanessa's choice in attire, Vanessa was so vindictive that she waited for an entire semester to get the perfect revenge.",Magoosh
609,0,noun,an ill-tempered or violent woman.,Poor Billy was the victim of the virago's invective--she railed at him for a good 30-minutes about how he is the scum of the earth for speaking loudly on his cellphone in public.,Magoosh
610,0,adjective,very hungry; approaching an activity with gusto.,"Steven was a voracious reader, sometimes finishing two novels in the same day.",Magoosh
611,0,adjective,"without check or limitation; showing no moral restraints to one's anger, desire, or appetites.","Due to wanton behavior and crude language, the drunk man was thrown out of the bar and asked to never return.",Magoosh
612,0,verb,to gradually increase in size or intensity.,"Her enthusiasm for the diva's new album only waxed with each song; by the end of the album, it was her favorite CD yet. This word has other definitions but this is the most important one for the GRE.",Magoosh
613,0,adjective,determined by impulse or whim rather than by necessity or reason.,"Adults look to kids and envy their whimsical nature at times, wishing that they could act without reason and play without limitation.",Magoosh
614,0,noun,the highest point; culmination.,"At the zenith of his artistic career, Elvis was outselling any other artist on the charts. Advanced Words.",Magoosh
615,0,verb,formally reject or give up (as a belief).,"While the church believed that Galileo abjured the heliocentric theory under threat of torture, he later wrote a book clearly supporting the theory.",Magoosh
616,0,verb,revoke formally.,"As part of the agreement between the labor union and the company, the workers abrogated their right to strike for four years in exchange for better health insurance.",Magoosh
617,0,verb,to serve as a judge in a competition; to arrive at a judgment or conclusion.,Only those with the most refined palates were able to adjudicate during the barbeque competition.,Magoosh
618,0,verb,provide with an opportunity.,The summit of Mt. Kilimanjaro affords a panoramic view that encompasses both Tanzania and Kenya. This word has other definitions but this is the most important one for the GRE.,Magoosh
619,0,noun,an eager willingness to do something.,"The first three weeks at his new job, Mark worked with such alacrity that upper management knew it would be giving him a promotion.",Magoosh
620,0,noun,something that is inappropriate for the given time period (usually something old).,"Dressed in 15th century clothing each day, Edward was a walking anachronism.",Magoosh
621,0,noun,a detested person; the source of somebody's hate.,"Hundreds of years ago, Galileo was anathema to the church; today the church is anathema to some on the left side of the political spectrum.",Magoosh
622,0,adjective,lacking energy and vigor.,"After three straight shows, the lead actress gave an anemic performance the fourth night, barely speaking loudly enough for those in the back rows to hear.",Magoosh
623,0,noun,something that soothes or relieves pain.,"Muzak, which is played in department stores, is intended to be an anodyne, but is often so cheesy and over-the-top that customers become irritated.",Magoosh
623,0,adjective,inoffensive.,"Wilbur enjoyed a spicy Mexican breakfast, but Jill prefered a far more anodyne meal in the mornings.",Magoosh
624,0,adjective,ludicrously odd.,"The clown's antic act was too extreme for the youngest children, who left the room in tears. This word has other definitions but this is the most important one for the GRE.",Magoosh
625,0,noun,great coolness and composure under strain.,Nancy acted with aplomb during dangerous situations--she once calmly climbed up an oak tree to save a. cat.,Magoosh
626,0,noun,the highest point.,"The apogee of the Viennese style of music, Mozart's music continues to mesmerize audiences well into the 21st century.",Magoosh
627,0,noun,a person who has abandoned a religious faith or cause.,"An apostate of the Republican Party, Sheldon has yet to become affiliated with any party and dubs himself an independent.",Magoosh
628,0,noun,"a short, pithy instructive saying.","Winston Churchill is famous for many apothegms, but this might be his most famous: ""It has been said that democracy is the worst form of government except all the others that have been tried."".",Magoosh
629,0,noun,exaltation to divine status; the highest point of development.,"As difficult as it is to imagine, the apotheosis of Mark Zuckerberg's career, many believe, is yet to come.",Magoosh
630,0,adjective,expressing praise or approval.,"Although it might not be her best work, Hunter's new novel has received generally approbatory reviews.",Magoosh
631,0,verb,to give or take something by force.,"The government appropriated land that was occupied by squatters, sending them scurrying for another place to live. This word has other definitions but this is the most important one for the GRE.",Magoosh
631,0,verb,to allocate.,The committe appropriated the funds to its various members. This word has other definitions but this is the most important one for the GRE.,Magoosh
632,0,adjective,supply added support.,"In hiking Mt. Everest, sherpas are appurtenant, helping climbers both carry gear and navigate treacherous paths.",Magoosh
633,0,adjective,to be deliberately teasing.,"The baroness was arch, making playful asides to the townspeople; yet because they couldn't pick up on her dry humor, they thought her supercilious. This word has other definitions but this is the most important one for the GRE.",Magoosh
634,0,adjective,complete and wholly (usually modifying a noun with negative connotation).,"An arrant fool, Lawrence surprised nobody when he lost all his money in a pyramid scheme that was every bit as transparent as it was corrupt.",Magoosh
635,0,noun,a person who has recently reached a position of power; a social climber.,The city center was aflutter with arrivistes who each tried to outdo one another with their ostentatious sports cars and chic evening dress.,Magoosh
636,0,verb,seize and control without authority.,"Arriving at the small town, the outlaw arrogated the privileges of a lord, asking the frightened citizens to provide food, drink, and entertainment.",Magoosh
637,0,noun,cunning tricks used to deceive others.,The mayoral candidates both spent much of the campaign accusing each other of artifices designed to mislead the voting public.,Magoosh
638,0,adjective,without cunning or deceit.,"Despite the president's seemingly artless speeches, he was a skilled and ruthless negotiator.",Magoosh
639,0,noun,the quality of innocence.,"I, personally, found the artlessness of her speech charming.",Magoosh
640,0,noun,harshness of manner.,"The editor was known for his asperity, often sending severe letters of rejection to amateur writers.",Magoosh
641,0,adverb,with care and persistence.,"The top college football program recruits new talent assiduously, only choosing those who were the top in their county.",Magoosh
642,0,noun,a reappearance of an earlier characteristic; throwback.,Much of the modern art movement was an atavism to a style of art found only in small villages through Africa and South America.,Magoosh
643,0,verb,to weaken (in terms of intensity); to taper off/become thinner.,"Her animosity towards Bob attenuated over the years, and she even went so far as to invite him to her party.",Magoosh
644,0,adjective,offensively self-assured or given to exercising usually unwarranted power.,"The manager was finally fired for his autocratic leadership, which often bordered on rude and offensive.",Magoosh
645,0,adjective,threatening or foreshadowing evil or tragic developments.,Movies often use storms or rain clouds as a baleful omen of evil events that will soon befall the main character.,Magoosh
646,0,adjective,"the lowest, class were without any moral principles.",She was not so base as to begrudge the beggar the unwanted crumbs from her dinner plate. This word has other definitions but this is the most important one for the GRE.,Magoosh
647,0,noun,an act that debases or corrupts.,The movie World War Z is a complete bastardization of the book with little more in common than zombies and a title.,Magoosh
648,0,verb,to evade or dodge (a question).,By assuming that Charlie was headed to college--which he was not--Maggie begged the question when she asked him to which school he was headed in the Fall. This word has other definitions but this is the most important one for the GRE.,Magoosh
649,0,verb,express discontent or a stong regret.,"While the CFO carefully explained all the reasons for the cuts in benefits, after the meeting employees bemoaned the cuts as further evidence that management was against them.",Magoosh
650,0,adjective,fallen into a state of ignorance.,"Far from being a period of utter benightedness, The Medieval Ages produced some great works of theological speculation.",Magoosh
651,0,adjective,unhappy in love; suffering from unrequited love.,"After 64 years of marriage, William was bereft after the death of his wife.",Magoosh
651,0,adjective,sorrowful through loss or deprivation.,"You are not bereft if you haven't played on your Xbox in the past week, his mother said.",Magoosh
652,0,adjective,strongly affectionate towards.,"Even though her father did not approve, Juliet became besotted with the young Romeo.",Magoosh
652,0,adjective,very drunk.,"Never before have I seen my mom so besotted, and honestly, I hope it's the last time she drinks so much.",Magoosh
653,0,adjective,irritable; always angry.,"Rex was bilious all morning, and his face would only take on a look of contentedness when he'd had his morning cup of coffee.",Magoosh
654,0,adjective,to have a limited outlook or understanding.,"In gambling, the addict is easily blinkered by past successes and/or past failures, forgetting that the outcome of any one game is independent of the games that preceded it.",Magoosh
655,0,verb,edit by omitting or modifying parts considered indelicate.,"To recieve an R rating, the entire movie was bowdlerized because it contained so much violence and grotesque subject matter.",Magoosh
656,0,verb,anger or take offense.,The hostess bridled at the tactless dinner guests who insisted on eating before everybody had gotten their food.,Magoosh
657,0,verb,react in an offended or angry manner.,"As we discussed the painting, I noticed the artitst's wife bristling at our criticisms, ready to defend her husband's work.",Magoosh
658,0,noun,a strong verbal attack.,Political broadsides are usually strongest in the weeks leading up to a national election.,Magoosh
659,0,noun,a trite or obvious remark.,"Instead of sharing his umbrella, the cheeky stranger offered Martha the following bromide: ""Looks like it's raining."".",Magoosh
660,0,verb,put up with something or somebody unpleasant.,"While she was at the chalkboard, the teacher did not brook any form of talking--even a tiny peep resulted in afternoon detention. This word has other definitions but this is the most important one for the GRE.",Magoosh
661,0,adjective,intricate and complex.,Getting a driver's license is not simply a matter of taking a test; the regulations and procedures are so byzantine that many have found themselves at the mercy of the Department of Motor Vehicles.,Magoosh
662,0,adjective,young and inexperienced.,Both Los Angeles and New York are known for callow out-of-towners hoping to make it big.,Magoosh
663,0,noun,to surrender (usually under agreed conditions).,"Paul, losing 19-0 in a ping-pong match against his nimble friend, basically capitulated when he played the last two points with his eyes closed.",Magoosh
664,0,noun,an event resulting in great loss and misfortune.,"The introduction of smallpox was a cataclysm for Native Americans, killing off more than half of their population.",Magoosh
665,0,adjective,of broad scope; universal.,Jonah's friends said that Jonah's taste in music was eclectic; Jonah was quick to point out that not only was his taste eclectic but it was also catholic: he enjoyed music from countries as far-flung as Mali and. Mongolia.,Magoosh
666,0,verb,relinquish possession or control over.,"Eventually, all parents must cede control of their growing childrens' educations and allow their offspring some autonomy.",Magoosh
667,0,noun,"speed, rapidity.","We aim to respond to customers' questions with celerity and accuracy, with no longer than a 24 hour wait time.",Magoosh
668,0,noun,strong feelings of embarrassment.,"Much to the the timid writer's chagrin, the audience chanted his name until he came back on the stage.",Magoosh
668,0,verb,cause to feel shame; hurt the pride of.,She never cared what others said about her appearance but was chagrined by the smallest comment from her mother.,Magoosh
669,0,noun,a flamboyant deceiver; one who attracts customers with tricks or jokes.,"You may call him a ""motivational speaker,"" but I call him a charlatan--he doesn't have any idea what he's really talking about.",Magoosh
670,0,adjective,cautious.,"Jack was wary of GRE words that looked similar, because they usually had different definitions; not so with chary, a word that he began to use interchangeably with wary.",Magoosh
671,0,noun,fanatical patriotism; belief that one's group/cause is superior to all other groups/causes.,Vegetarians argue that man is chauvinistic in his belief that animals do not consciously feel the pain we humans do. This word has other definitions but this is the most important one for the GRE.,Magoosh
672,0,noun,something desired or wished for but is only an illusion and impossible to achieve Many believe that a world free of war is a chimera--a dream that ignores humanity's violent tendancies.,This word has other definitions but this is the most important one for the GRE.,Magoosh
673,0,adjective,prone to outbursts of temper; easily angered.,"While a brilliant lecturer, Mr. Dawson came across as choleric and unapproachable--very rarely did students come to his office hours.",Magoosh
674,0,adjective,lacking manners or refinement.,"The manager was unnecessarily churlish to his subordinates, rarely deigning to say hello, but always quick with a sartorial jab if someone happened to be wearing anything even slightly mismatching.",Magoosh
